post_id,title,category,score,num_comments,author,collected_at
47654626,A whole boss fight in 256 bytes,technology,124,50,HellMood,2026-04-09 14:25:31
47684514,Protect your shed,technology,306,79,baely,2026-04-09 14:25:31
47698492,Demystifying Open Silicon – Matt Venn Is Democratizing Chip Design,technology,7,0,johncole,2026-04-09 14:25:31
47699090,'There's a lot of desperation': older workers turn to AI training to stay afloat,technology,32,8,Stratoscope,2026-04-09 14:25:31
47693047,Claude Managed Agents,technology,163,72,adocomplete,2026-04-09 14:25:31
47650887,How to get better at guitar,technology,459,251,jwworth,2026-04-09 14:25:31
47690434,Iran demands Bitcoin fees for ships passing Hormuz during ceasefire,technology,161,259,pavlov,2026-04-09 14:25:31
47699504,"Under oath, Frank Lloyd Wright introduced himself as ""world greatest architect""",technology,6,3,felipevb,2026-04-09 14:25:31
47675893,A blind man made it possible for others with low vision to build Lego sets,technology,88,14,speckx,2026-04-09 14:25:31
47698082,Newly created Polymarket accounts win big on well-timed Iran ceasefire bets,technology,145,121,mitchbob,2026-04-09 14:25:31
47657268,A truck driver spent 20 years making a scale model of every building in NYC,technology,396,67,1659447091,2026-04-09 14:25:31
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,technology,14,3,guitarlimeo,2026-04-09 14:25:31
47683376,JSIR: A High-Level IR for JavaScript,technology,83,32,nnx,2026-04-09 14:25:32
47675155,You can't cancel a JavaScript promise (except sometimes you can),technology,95,61,goodoldneon,2026-04-09 14:25:32
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,55,18,zdw,2026-04-09 14:25:32
